"id","author","authorLink","authorThumb","text","likes","time","timestamp","edited","hasReplies","repliesToken","numReplies","replyTo"
"Ugw_zplE82ldy2ARUT14AaABAg","Jerry Coe","/channel/UC6bIbHevKqCgoIsOx_mboxQ","https://yt3.ggpht.com/a/AGF-l7_-S3G96TBfwyreHA5aPI8Tiq5RusSVP0ZkSg=s48-c-k-c0xffffffff-no-rj-mo","I grew up and found out I don't know shit",0,"2 weeks ago",1573475061855,false,false,,,
"UgxSEbOPP34bVAQfkyV4AaABAg","John Aquarius","/channel/UCz6zNetgmoQGRfqL70aQyfA","https://yt3.ggpht.com/a/AGF-l7-uMZSuRRd54ZYJpYo3C8BdEFuofyznE-co0A=s48-c-k-c0xffffffff-no-rj-mo","So I was listening to another song titled Electric Blue from a late 80's band then i clicked on to this little gem . Not the same but this definitely going to be in my collection",0,"1 month ago",1572006261858,false,false,,,
"UgywGFRynC2AGyorT6t4AaABAg","Seth Oettinger","/channel/UCvJC_sjCXFXdMRA1rKMIQ1g","https://yt3.ggpht.com/a/AGF-l78SR2_1q_QVjDkYB38UBGaaWF9YILvWDurSoA=s48-c-k-c0xffffffff-no-rj-mo","She has got one of the most pleasant voices ive ever heard",0,"1 month ago",1572006261861,false,false,,,
"UgwelYA2Ra8so_XbIDd4AaABAg","David Leavell","/channel/UCuLvlaEiWg5GLBNUJDWpocA","https://yt3.ggpht.com/a/AGF-l79pWKIBmHwZdGM07zgYNj_tMxvk-WJhxXDU6Q=s48-c-k-c0xffffffff-no-rj-mo","These comments are great .I love this song.haha.😂",1,"1 month ago",1572006261863,false,false,,,
"UgxcFMc8mtdLdsz9Zs14AaABAg","Iñigo Nacho Bragg Lanao","/channel/UCvShfTEZQTTogmFPvpmY2rw","https://yt3.ggpht.com/a/AGF-l78bRI02ZT-qPqm9zn9NdRZ278_UmfU3u3yP-g=s48-c-k-c0xffffffff-no-rj-mo","España desde elo de lo mejor",0,"1 month ago",1572006261868,false,false,,,
"UgzH617o0ow_-zSvlTx4AaABAg","Deds","/channel/UCRoTEsNSML67qOdwLn25COg","https://yt3.ggpht.com/a/AGF-l78jHGOvegrDQW4ubQOYhGOBG5D0zFDAXuL-ew=s48-c-k-c0xffffffff-no-rj-mo","I love her dance.",1,"1 month ago",1572006261869,false,false,,,
"UgwHhLRsoQR4OO_Ii3J4AaABAg","SquatComrade","/channel/UCe4v3ldR6O-DVNLAMbkXosQ","https://yt3.ggpht.com/a/AGF-l782-S1aiNWWX-IdDkbW9UN5G4Zn8p4RtnEo-A=s48-c-k-c0xffffffff-no-rj-mo","lol, there is the other song with the same name which is much better =)",0,"1 month ago",1572006261871,false,false,,,
"Ugy-uKvEcjJRal31vHN4AaABAg","John Sargeant","/channel/UC-5HjIrJZaLO4rNGTdpZQag","https://yt3.ggpht.com/a/AGF-l7-Lmixuuzz52YaBiIVPuZR7Cra9vYfFW-YdxQ=s48-c-k-c0xffffffff-no-rj-mo","regine is so awesome. i love AF.",1,"1 month ago",1572006261873,false,false,,,
"UgyH5Gnh74ek29q_VId4AaABAg","Looking 4 Music","/channel/UC0MqB3Ql_iTcAN4dzeJYcAw","https://yt3.ggpht.com/a/AGF-l7-2GvX09K2ERn5AxE3rHgSNz6HpcERE1qx9AQ=s48-c-k-c0xffffffff-no-rj-mo","Who is she?",0,"1 month ago",1572006261875,false,false,,,
"UgxhsgKqMP-JefPgQN94AaABAg","Idiot Savant","/channel/UCvuC6IElPral8iakH_jY_jA","https://yt3.ggpht.com/a/AGF-l7-0yPdE9klljE3ultYhsbyO_ML6ZY8ne_jjfA=s48-c-k-c0xffffffff-no-rj-mo","Absolute beauty of a woman and voice! She's sporting those curls real good too!",0,"1 month ago",1572006261876,true,false,,,
"UgyGm4_HSWkUUPSxcdx4AaABAg","lleon79","/channel/UCluX9Kb6nXRopSGoKHPsTyw","https://yt3.ggpht.com/a/AGF-l7_C-TpDklwSKVAGWZVtzwmdhSzgKSdnz6x9vw=s48-c-k-c0xffffffff-no-rj-mo","Everything Now was 50/50 for me, but this is one of those songs that really clicked. I love it!",0,"2 months ago",1569414261878,false,false,,,
"Ugy1S38U6P8Eo6njtdx4AaABAg","Jerry Coe","/channel/UC6bIbHevKqCgoIsOx_mboxQ","https://yt3.ggpht.com/a/AGF-l7_-S3G96TBfwyreHA5aPI8Tiq5RusSVP0ZkSg=s48-c-k-c0xffffffff-no-rj-mo","I found out I don't know shit...",1,"2 months ago",1569414261882,false,false,,,
"UgyasySXubN7VdwvbSJ4AaABAg","Jon Bettson","/channel/UCtwvBFKHPKfsxr2fePNkMgg","https://yt3.ggpht.com/a/AGF-l7-IAFy3dKQW1leDQdw0gkiCIZ5k-Gj9GRe1-A=s48-c-k-c0xffffffff-no-rj-mo","PLEASE Regine, we all love you. Make a solo album, with Arcade Fire. You are a goddess.",1,"2 months ago",1569414261884,false,false,,,
"UgyXVcxYnvn0CTeOx1x4AaABAg","Paul at Motorcycle Mama","/channel/UCVhF05xci2TBqPfIdhGEaQg","https://yt3.ggpht.com/a/AGF-l7_pUMpF4cecvBU5uEn89a_yPKCvBJAGdv1uPQ=s48-c-k-c0xffffffff-no-rj-mo","WOW",0,"2 months ago",1569414261885,false,false,,,
"UgyN-J-v5hp0AyWmyx54AaABAg","LilPop","/channel/UCMp05yawqIDQ21K9yyj_zZw","https://yt3.ggpht.com/a/AGF-l7-kSTkLMFQXSWw5g2nTkRJdeMbw7UWnrskvhw=s48-c-k-c0xffffffff-no-rj-mo","Claramente eu bêbado depois do club largado pelos meus amigos",2,"2 months ago",1569414261889,false,false,,,
"UgxZSWC5ECHljfdz8YZ4AaABAg","Modi Tekke","/channel/UC78srfWWp7fu83J3TpSXZAQ","https://yt3.ggpht.com/a/AGF-l7-SlaF1xOhSha3dwXLzQ2_IXCyvIQ5UwYUZ7w=s48-c-k-c0xffffffff-no-rj-mo","Thanks.",0,"2 months ago",1569414261890,true,false,,,
"Ugy7mUlLuQJfg6ejSFx4AaABAg","luisdmatas","/channel/UCpyGgRaziwhw_RvY07uaHxQ","https://yt3.ggpht.com/a/AGF-l79MslRQvHLAdobvfEHsx1xwP42rOaJBzeFcwA=s48-c-k-c0xffffffff-no-rj-mo","More song like this?",0,"2 months ago",1569414261892,false,false,,,
